country,city,aqi_value,co_aqi_value,ozone_aqi_value,no2_aqi_value,pm2.5_aqi_value,pollution_spread,pm25_dominance,kmeans_cluster,risk_level,risk_label,dbscan_cluster
Peru,Huanta,19.0,1.0,2.0,2.0,19.0,8.679477710861024,0.7916666336805569,1,1,Moderate Risk,0
Peru,Huanuco,21.0,0.0,4.0,1.0,21.0,9.814954576223638,0.8076922766272201,1,1,Moderate Risk,0
Peru,Huaral,137.0,4.0,11.0,10.0,137.0,64.40755649249033,0.8456790071254382,3,2,High Risk,0
Peru,Huaraz,9.0,0.0,9.0,0.0,8.0,4.924428900898052,0.47058820761245834,2,0,Low Risk,0
Peru,Huarmey,29.0,0.0,20.0,0.0,29.0,14.614490525958589,0.5918367226155771,2,0,Low Risk,0
Peru,Huaura,39.0,1.0,19.0,1.0,39.0,18.110770276274835,0.6499999891666669,1,1,Moderate Risk,0
Peru,Ica,23.0,0.0,11.0,1.0,23.0,10.719919153924002,0.6571428383673475,1,1,Moderate Risk,0
Peru,Ilave,25.0,0.0,14.0,1.0,25.0,11.86029791643813,0.6249999843750005,2,0,Low Risk,0
Peru,Ilo,18.0,0.0,18.0,3.0,16.0,9.069178573608527,0.4324324207450697,2,0,Low Risk,0
Peru,Imperial,20.0,1.0,20.0,1.0,17.0,10.177589760514683,0.4358974247205789,2,0,Low Risk,0
Peru,Iquitos,28.0,1.0,1.0,0.0,28.0,13.674794331177344,0.9333333022222232,1,1,Moderate Risk,0
Peru,Jauja,29.0,1.0,5.0,3.0,29.0,13.102162671355696,0.7631578746537402,1,1,Moderate Risk,0
Peru,Juanjui,46.0,1.0,2.0,0.0,46.0,22.51480994071828,0.9387754910453981,1,1,Moderate Risk,0
Peru,Juliaca,18.0,0.0,3.0,2.0,18.0,8.261355820929152,0.7826086616257103,1,1,Moderate Risk,0
Peru,Junin,10.0,0.0,6.0,1.0,10.0,4.645786621588784,0.588235259515573,2,0,Low Risk,0
Peru,La Arena,49.0,0.0,23.0,0.0,49.0,23.338094752285727,0.6805555461033952,1,1,Moderate Risk,0
Peru,La Brea,34.0,0.0,21.0,0.0,34.0,16.740669042783207,0.618181806942149,2,0,Low Risk,0
Peru,La Oroya,11.0,0.0,11.0,0.0,6.0,5.315072906367325,0.35294115570934376,2,0,Low Risk,0
Peru,La Peca,11.0,1.0,6.0,0.0,11.0,5.066228051190222,0.6111110771604957,2,0,Low Risk,0
Peru,Lamas,39.0,1.0,6.0,0.0,39.0,18.520259177452136,0.8478260685255203,1,1,Moderate Risk,0
Peru,Lambayeque,45.0,0.0,23.0,0.0,45.0,21.587033144922902,0.6617646961505192,1,1,Moderate Risk,0
Peru,Lima,110.0,4.0,16.0,9.0,110.0,50.40750605481952,0.7913669007815332,3,2,High Risk,0
Peru,Mala,44.0,1.0,19.0,1.0,44.0,20.35313243704762,0.6769230665088759,1,1,Moderate Risk,0
Peru,Marcavelica,46.0,0.0,22.0,0.0,46.0,21.939310229205777,0.6764705782871974,1,1,Moderate Risk,0
Peru,Marcona,23.0,0.0,23.0,0.0,17.0,11.803954139750516,0.4249999893750003,2,0,Low Risk,0
Peru,Mollendo,21.0,0.0,21.0,0.0,15.0,10.677078252031311,0.41666665509259293,2,0,Low Risk,0
Peru,Monsefu,32.0,0.0,22.0,0.0,32.0,16.11417595369576,0.5925925816186559,2,0,Low Risk,0
Peru,Moquegua,21.0,0.0,12.0,1.0,21.0,9.9498743710662,0.61764704065744,2,0,Low Risk,0
Peru,Morropon,58.0,1.0,5.0,2.0,58.0,27.718826333979823,0.8787878654729112,1,1,Moderate Risk,0
Peru,Motupe,38.0,1.0,18.0,0.0,38.0,17.858238061652855,0.6666666549707605,1,1,Moderate Risk,0
Peru,Moyobamba,32.0,1.0,6.0,0.0,32.0,15.063753405664428,0.8205127994740309,1,1,Moderate Risk,0
Peru,Nauta,32.0,1.0,1.0,0.0,32.0,15.673757260678329,0.9411764429065753,1,1,Moderate Risk,0
Peru,Nazca,11.0,0.0,10.0,1.0,11.0,5.802298395176403,0.49999997727272827,2,0,Low Risk,0
Peru,Nuevo Imperial,28.0,0.0,18.0,1.0,28.0,13.62289739127963,0.5957446681756454,2,0,Low Risk,0
Peru,Otuzco,36.0,1.0,5.0,2.0,36.0,16.753109164172084,0.8181817995867773,1,1,Moderate Risk,0
Peru,Pacasmayo,30.0,1.0,21.0,0.0,30.0,14.89966442575134,0.5769230658284026,2,0,Low Risk,0
Peru,Paijan,31.0,0.0,19.0,1.0,31.0,14.974979131871937,0.6078431253364094,2,0,Low Risk,0
Peru,Paramonga,41.0,1.0,18.0,1.0,41.0,18.945096111307187,0.6721311365224404,1,1,Moderate Risk,0
Peru,Pativilca,36.0,1.0,21.0,1.0,36.0,17.017148213885115,0.6101694811835682,2,0,Low Risk,0
Peru,Picsi,35.0,0.0,19.0,1.0,35.0,16.640813281407453,0.6363636247933887,1,1,Moderate Risk,0
Peru,Pimentel,28.0,0.0,22.0,0.0,28.0,14.6401275039985,0.5599999888000002,2,0,Low Risk,0
Peru,Pisco,28.0,0.0,22.0,0.0,28.0,14.6401275039985,0.5599999888000002,2,0,Low Risk,0
Peru,Piura,43.0,0.0,22.0,0.0,43.0,20.62967118820204,0.6615384513609469,1,1,Moderate Risk,0
Peru,Pucallpa,30.0,1.0,1.0,0.0,30.0,14.674240468703426,0.937499970703126,1,1,Moderate Risk,0
Peru,Puerto Maldonado,38.0,1.0,1.0,0.0,38.0,18.672618098881223,0.9499999762500007,1,1,Moderate Risk,0
Peru,Puno,23.0,0.0,12.0,1.0,23.0,10.801234497346433,0.6388888711419759,2,0,Low Risk,0
